"BZD-intermediate","-1.78 (-3.12 to -0.44)","-0.52 (-1.13 to  0.09)",".",".",".",".",".",".","0.65 ( 0.32 to  0.98)",".","0.03 (-0.61 to  0.68)",".",".","."
"-0.37 (-0.80 to  0.07)","BZD-long","0.51 ( 0.09 to  0.93)",".",".",".",".",".",".","0.59 ( 0.10 to  1.07)",".",".",".",".","-0.62 (-1.89 to  0.65)"
"0.05 (-0.29 to  0.38)","0.41 ( 0.06 to  0.77)","BZD-short",".",".",".",".",".",".","0.19 (-0.09 to  0.47)",".",".","0.23 (-0.20 to  0.66)","0.07 (-0.37 to  0.51)","."
"-0.04 (-0.34 to  0.27)","0.33 (-0.04 to  0.71)","-0.08 (-0.34 to  0.18)","daridorexant",".",".",".",".",".","0.45 ( 0.35 to  0.54)",".",".",".","-0.06 (-0.35 to  0.22)","."
"0.14 (-0.48 to  0.76)","0.51 (-0.15 to  1.16)","0.09 (-0.50 to  0.69)","0.18 (-0.38 to  0.73)","diphenydramine",".",".",".",".","0.26 (-0.28 to  0.81)",".",".",".",".","."
"0.00 (-0.35 to  0.36)","0.37 (-0.05 to  0.79)","-0.04 (-0.36 to  0.28)","0.04 (-0.19 to  0.27)","-0.14 (-0.72 to  0.45)","doxepin",".",".",".","0.40 ( 0.19 to  0.61)",".",".",".",".","."
"-0.13 (-0.46 to  0.20)","0.24 (-0.15 to  0.63)","-0.17 (-0.47 to  0.12)","-0.09 (-0.28 to  0.10)","-0.27 (-0.84 to  0.30)","-0.13 (-0.39 to  0.14)","eszopiclone",".",".","0.53 ( 0.36 to  0.70)",".",".",".",".","0.17 (-0.10 to  0.45)"
"-0.39 (-0.71 to -0.08)","-0.03 (-0.41 to  0.36)","-0.44 (-0.71 to -0.17)","-0.36 (-0.52 to -0.20)","-0.53 (-1.10 to  0.03)","-0.40 (-0.64 to -0.15)","-0.27 (-0.48 to -0.05)","lemborexant",".","0.75 ( 0.60 to  0.90)",".",".",".","0.47 ( 0.32 to  0.62)","."
"0.34 (-0.35 to  1.02)","0.71 (-0.01 to  1.42)","0.29 (-0.37 to  0.96)","0.37 (-0.25 to  1.00)","0.20 (-0.63 to  1.02)","0.34 (-0.32 to  0.99)","0.46 (-0.18 to  1.11)","0.73 ( 0.10 to  1.36)","melatonin","0.06 (-0.56 to  0.68)",".",".",".",".","."
"0.40 ( 0.11 to  0.69)","0.77 ( 0.41 to  1.13)","0.36 ( 0.11 to  0.60)","0.44 ( 0.34 to  0.53)","0.26 (-0.28 to  0.81)","0.40 ( 0.19 to  0.61)","0.53 ( 0.36 to  0.69)","0.79 ( 0.66 to  0.93)","0.06 (-0.56 to  0.68)","placebo","-0.13 (-0.28 to  0.02)","-0.35 (-1.00 to  0.30)","-0.01 (-0.40 to  0.37)","-0.35 (-0.47 to -0.24)","0.00 (-0.77 to  0.77)"
"0.27 (-0.05 to  0.59)","0.64 ( 0.25 to  1.03)","0.23 (-0.06 to  0.51)","0.31 ( 0.13 to  0.48)","0.13 (-0.43 to  0.70)","0.27 ( 0.02 to  0.52)","0.40 ( 0.18 to  0.62)","0.67 ( 0.47 to  0.86)","-0.07 (-0.70 to  0.57)","-0.13 (-0.28 to  0.02)","ramelteon",".",".",".","."
"0.04 (-0.53 to  0.62)","0.41 (-0.26 to  1.08)","-0.00 (-0.62 to  0.61)","0.08 (-0.50 to  0.66)","-0.10 (-0.89 to  0.70)","0.04 (-0.57 to  0.65)","0.17 (-0.43 to  0.77)","0.44 (-0.15 to  1.03)","-0.29 (-1.14 to  0.55)","-0.36 (-0.93 to  0.22)","-0.23 (-0.82 to  0.36)","trimipramine",".",".","."
"0.33 (-0.10 to  0.76)","0.70 ( 0.23 to  1.17)","0.29 (-0.07 to  0.64)","0.37 ( 0.02 to  0.72)","0.19 (-0.45 to  0.84)","0.33 (-0.07 to  0.73)","0.46 ( 0.08 to  0.84)","0.73 ( 0.36 to  1.09)","-0.00 (-0.71 to  0.70)","-0.07 (-0.41 to  0.27)","0.06 (-0.31 to  0.43)","0.29 (-0.37 to  0.95)","zaleplon",".","."
"0.03 (-0.27 to  0.34)","0.40 ( 0.03 to  0.78)","-0.01 (-0.27 to  0.24)","0.07 (-0.07 to  0.20)","-0.11 (-0.66 to  0.45)","0.03 (-0.20 to  0.26)","0.16 (-0.04 to  0.36)","0.43 ( 0.30 to  0.56)","-0.30 (-0.93 to  0.32)","-0.37 (-0.48 to -0.26)","-0.24 (-0.42 to -0.06)","-0.01 (-0.59 to  0.57)","-0.30 (-0.65 to  0.05)","zolpidem","."
"0.04 (-0.37 to  0.45)","0.41 (-0.04 to  0.86)","-0.00 (-0.38 to  0.38)","0.08 (-0.23 to  0.39)","-0.10 (-0.72 to  0.52)","0.04 (-0.32 to  0.40)","0.17 (-0.09 to  0.43)","0.44 ( 0.12 to  0.76)","-0.29 (-0.98 to  0.39)","-0.36 (-0.65 to -0.06)","-0.23 (-0.56 to  0.10)","0.00 (-0.64 to  0.65)","-0.29 (-0.74 to  0.16)","0.01 (-0.30 to  0.32)","zopiclone"
