"BZD-intermediate","1.43 (0.52 to  3.93)",".",".",".",".",".","0.69 (0.40 to  1.20)",".","1.45 (0.26 to  8.02)","1.24 (0.33 to  4.74)",".","0.90 (0.05 to 15.77)","."
"1.56 (0.73 to  3.34)","BZD-long",".",".",".",".",".","0.39 (0.18 to  0.89)",".",".",".",".",".","0.91 (0.40 to  2.07)"
"0.75 (0.20 to  2.83)","0.48 (0.12 to  1.93)","BZD-short",".",".",".",".",".",".",".",".",".","1.18 (0.36 to  3.90)","."
"0.61 (0.30 to  1.26)","0.39 (0.17 to  0.89)","0.82 (0.22 to  3.08)","daridorexant",".",".",".","1.32 (0.79 to  2.21)",".",".",".",".","0.49 (0.07 to  3.64)","."
"1.35 (0.67 to  2.73)","0.86 (0.43 to  1.74)","1.80 (0.48 to  6.84)","2.21 (1.08 to  4.54)","eszopiclone",".",".","0.60 (0.34 to  1.05)",".",".",".",".",".","0.86 (0.50 to  1.47)"
"1.06 (0.53 to  2.10)","0.68 (0.31 to  1.50)","1.42 (0.39 to  5.18)","1.74 (0.88 to  3.43)","0.79 (0.40 to  1.56)","lemborexant",".","0.85 (0.52 to  1.38)",".",".",".",".","0.47 (0.22 to  1.01)","."
"0.35 (0.06 to  2.15)","0.22 (0.03 to  1.44)","0.46 (0.05 to  3.95)","0.57 (0.09 to  3.52)","0.26 (0.04 to  1.59)","0.33 (0.05 to  2.00)","melatonin","2.21 (0.38 to 12.74)",".",".",".",".",".","."
"0.76 (0.46 to  1.28)","0.49 (0.25 to  0.94)","1.02 (0.30 to  3.50)","1.25 (0.75 to  2.08)","0.57 (0.34 to  0.94)","0.72 (0.46 to  1.13)","2.21 (0.38 to 12.74)","placebo","2.60 (0.81 to  8.35)","0.65 (0.23 to  1.87)","1.07 (0.27 to  4.20)","0.85 (0.34 to  2.12)","1.22 (0.90 to  1.65)","1.55 (0.24 to 10.21)"
"1.78 (0.56 to  5.65)","1.14 (0.33 to  3.87)","2.38 (0.49 to 11.64)","2.92 (0.92 to  9.23)","1.32 (0.42 to  4.18)","1.68 (0.55 to  5.15)","5.14 (0.67 to 39.42)","2.33 (0.83 to  6.57)","seltorexant",".",".",".","0.58 (0.16 to  2.12)","."
"0.84 (0.35 to  2.03)","0.54 (0.20 to  1.48)","1.13 (0.27 to  4.72)","1.38 (0.54 to  3.52)","0.62 (0.24 to  1.59)","0.79 (0.32 to  1.94)","2.43 (0.36 to 16.62)","1.10 (0.50 to  2.42)","0.47 (0.13 to  1.71)","trazodone",".",".","0.92 (0.35 to  2.40)","."
"1.02 (0.31 to  3.38)","0.65 (0.17 to  2.51)","1.36 (0.24 to  7.61)","1.67 (0.45 to  6.17)","0.75 (0.20 to  2.78)","0.96 (0.26 to  3.48)","2.94 (0.35 to 24.70)","1.33 (0.40 to  4.45)","0.57 (0.12 to  2.80)","1.21 (0.29 to  5.00)","trimipramine",".",".","."
"0.66 (0.26 to  1.66)","0.42 (0.15 to  1.16)","0.88 (0.21 to  3.67)","1.08 (0.43 to  2.72)","0.49 (0.19 to  1.23)","0.62 (0.26 to  1.50)","1.90 (0.28 to 12.93)","0.86 (0.40 to  1.87)","0.37 (0.10 to  1.33)","0.78 (0.26 to  2.32)","0.65 (0.15 to  2.71)","zaleplon","1.31 (0.51 to  3.42)","."
"0.88 (0.49 to  1.58)","0.56 (0.28 to  1.15)","1.18 (0.36 to  3.90)","1.45 (0.81 to  2.58)","0.65 (0.36 to  1.18)","0.83 (0.51 to  1.37)","2.55 (0.43 to 15.09)","1.16 (0.86 to  1.55)","0.50 (0.17 to  1.41)","1.05 (0.48 to  2.31)","0.87 (0.25 to  2.99)","1.34 (0.62 to  2.91)","zolpidem","."
"1.22 (0.56 to  2.65)","0.78 (0.40 to  1.52)","1.63 (0.41 to  6.47)","1.99 (0.89 to  4.47)","0.90 (0.55 to  1.47)","1.15 (0.53 to  2.48)","3.51 (0.55 to 22.62)","1.59 (0.85 to  2.98)","0.68 (0.20 to  2.29)","1.45 (0.53 to  3.93)","1.20 (0.31 to  4.60)","1.85 (0.68 to  5.00)","1.38 (0.69 to  2.75)","zopiclone"
